??,???(mm),????(?),,,,,
Jan-20,60.5,1.6,,,,,
Feb-20,53.1,2.5,,,,,
Mar-20,16.3,7.7,,,,,
Apr-20,16.9,11.1,,,,,
May-20,112.4,18,,,,,
Jun-20,139.6,23.9,,,,,
Jul-20,270.4,24.1,,,,,
Aug-20,675.7,26.5,,,,,
Sep-20,181.5,21.4,,,,,
Oct-20,0,14.3,,,,,
Nov-20,120.1,8,,,,,
Dec-20,4.6,-0.3,,,,,
Jan-21,18.9,-2.4,,,,,
Feb-21,7.1,2.7,,,,,
Mar-21,110.9,9,,,,,
Apr-21,124.1,14.2,,,,,
May-21,183.1,17.1,,,,,
Jun-21,104.6,22.8,,,,,
Jul-21,168.3,28.1,,,,,
Aug-21,211.2,25.9,,,,,
Sep-21,131,22.6,,,,,
Oct-21,57,15.6,,,,,
Nov-21,62.4,8.2,,,,,
Dec-21,7.9,0.6,,,,,
Jan-22,5.5,-2.2,,,,,
Feb-22,4.7,-1.1,,,,,
Mar-22,102.6,7.7,,,,,
Apr-22,20.4,14.8,,,,,
May-22,7.5,19.1,,,,,
Jun-22,393.8,23.3,,,,,
Jul-22,252.3,27.3,,,,,
Aug-22,564.8,25.7,,,,,
Sep-22,201.5,22.4,,,,,
Oct-22,124.1,14.6,,,,,
Nov-22,84.5,10,,,,,
Dec-22,13.6,-2.8,,,,,
Jan-23,47.9,-1.5,,,,,
Feb-23,1,2.3,,,,,
Mar-23,10.5,9.8,,,,,
Apr-23,96.9,13.8,,,,,
May-23,155.6,19.5,,,,,
Jun-23,195.6,23.4,,,,,
Jul-23,459.9,26.7,,,,,
Aug-23,298.1,27.2,,,,,
Sep-23,134.5,23.7,,,,,
Oct-23,31,15.8,,,,,
Nov-23,81.9,6.8,,,,,
Dec-23,85.9,1.1,,,,,
Jan-24,18.9,-0.5,,,,,
Feb-24,74.7,3.8,,,,,
Mar-24,29.9,7,,,,,
Apr-24,33.2,16.3,,,,,
May-24,125.1,18.5,,,,,
Jun-24,115.9,24.6,,,,,
Jul-24,557.3,26.6,,,,,
Aug-24,72.8,29.3,,,,,
Sep-24,143.9,25.5,,,,,
Oct-24,74,16.7,,,,,
Nov-24,60,9.7,,,,,
Dec-24,5.7,0.8,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
